fixed acidity,volatile acidity,quality,citric acid,residual sugar
8.3,0.715,5,0.15,1.8
7.2,0.415,5,0.36,2
7.8,0.56,5,0.19,2.1
7.8,0.56,5,0.19,2
5.2,0.34,6,0,1.8
6.3,0.39,5,0.08,1.7
8.1,0.67,5,0.55,1.8
5.8,0.68,5,0.02,1.8
7.6,0.49,5,0.26,1.6
6.9,0.49,6,0.1,2.3
8.2,0.4,6,0.44,2.8
7.3,0.33,6,0.47,2.1
9.2,0.52,4,1,3.4
7.5,0.6,5,0.03,1.8
7.1,0.43,5,0.42,5.5
7.1,0.43,5,0.42,5.5
7.1,0.68,5,0,2.2
6.8,0.6,6,0.18,1.9
7.6,0.95,5,0.03,2
7.6,0.68,4,0.02,1.3
7.8,0.53,6,0.04,1.7
7.4,0.6,5,0.26,7.3
7.3,0.59,5,0.26,7.2
7.8,0.63,5,0.48,1.7
6.8,0.64,5,0.1,2.1
7.3,0.55,4,0.03,1.6
6.8,0.63,6,0.07,2.1
7.5,0.705,5,0.24,1.8
7.9,0.885,4,0.03,1.8
8,0.42,6,0.17,2
7.4,0.62,6,0.05,1.9
7.3,0.38,5,0.21,2
6.9,0.5,5,0.04,1.5
7.5,0.52,6,0.42,2.3
7,0.805,5,0,2.5
8.8,0.61,5,0.14,2.4
8.9,0.61,5,0.49,2
7.2,0.73,5,0.02,2.5
6.8,0.61,5,0.2,1.8
6.7,0.62,6,0.21,1.9
8.9,0.31,5,0.57,2
7.4,0.39,5,0.48,2
7.7,0.705,5,0.1,2.6
7.9,0.5,5,0.33,2
7.9,0.49,5,0.32,1.9
8.2,0.5,5,0.35,2.9
6.4,0.37,6,0.25,1.9
6.8,0.63,5,0.12,3.8
7.6,0.55,5,0.21,2.2
7.8,0.59,5,0.33,2
7.3,0.58,5,0.3,2.4
11.5,0.3,6,0.6,2
5.4,0.835,7,0.08,1.2
6.9,1.09,4,0.06,2.1
9.6,0.32,7,0.47,1.4
8.8,0.37,5,0.48,2.1
6.8,0.5,5,0.11,1.5
7,0.42,5,0.35,1.6
7,0.43,6,0.36,1.6
12.8,0.3,7,0.74,2.6
7.8,0.57,5,0.31,1.8
7.8,0.44,5,0.28,2.7
11,0.3,7,0.58,2.1
9.7,0.53,6,0.6,2
8,0.725,6,0.24,2.8
11.6,0.44,6,0.64,2.1
8.2,0.57,5,0.26,2.2
7.8,0.735,6,0.08,2.4
7,0.49,5,0.49,5.6
8.7,0.625,5,0.16,2
8.1,0.725,5,0.22,2.2
7.5,0.49,5,0.19,1.9
7.8,0.53,5,0.33,2.4
7.8,0.34,6,0.37,2
7.4,0.53,5,0.26,2
6.8,0.61,5,0.04,1.5
8.6,0.645,6,0.25,2
8.4,0.635,4,0.36,2
7.7,0.43,6,0.25,2.6
8.9,0.59,6,0.5,2
9,0.82,5,0.14,2.6
6.9,0.52,5,0.25,2.6
5.2,0.48,7,0.04,1.6
8,0.38,6,0.06,1.8
8.5,0.37,6,0.2,2.8
8.2,1,6,0.09,2.3
7.2,0.63,6,0,1.9
7.2,0.645,6,0,1.9
8.9,0.635,5,0.37,1.7
12,0.38,6,0.56,2.1
7.7,0.58,6,0.1,1.8
15,0.21,7,0.44,2.2
7.3,0.66,6,0,2
7.1,0.68,5,0.07,1.9
8.2,0.6,5,0.17,2.3
7.7,0.53,6,0.06,1.7
10.8,0.32,6,0.44,1.6
7.1,0.6,6,0,1.8
11.1,0.35,5,0.48,3.1
7.7,0.775,5,0.42,1.9
8,0.57,5,0.23,3.2
9.4,0.34,5,0.37,2.2
6.6,0.695,5,0,2.1
7.7,0.41,5,0.76,1.8
10,0.31,7,0.47,2.6
7.9,0.33,5,0.23,1.7
7,0.975,4,0.04,2
8,0.52,5,0.03,1.7
7.9,0.37,5,0.23,1.8
12.5,0.56,5,0.49,2.4
11.8,0.26,7,0.52,1.8
8.1,0.87,4,0,3.3
7.9,0.35,8,0.46,3.6
6.9,0.54,6,0.04,3
11.5,0.18,6,0.51,4
7.9,0.545,6,0.06,4
10.9,0.37,5,0.58,4
8.4,0.715,5,0.2,2.4
7.5,0.65,5,0.18,7
10.3,0.32,8,0.45,6.4
8.9,0.4,7,0.32,5.6
11.4,0.26,6,0.44,3.6
7.7,0.27,7,0.68,3.5
7.6,0.52,5,0.12,3
9.9,0.59,5,0.07,3.4
12,0.45,6,0.55,2
7.5,0.4,6,0.12,3
8.7,0.52,7,0.09,2.5
11.6,0.42,5,0.53,3.3
11,0.2,5,0.48,2
10.4,0.55,6,0.23,2.7
6.9,0.36,6,0.25,2.4
13.3,0.34,6,0.52,3.2
10.8,0.5,5,0.46,2.5
10.6,0.83,5,0.37,2.6
7.1,0.63,5,0.06,2
7.2,0.65,5,0.02,2.3
6.9,0.67,5,0.06,2.1
7.5,0.53,6,0.06,2.6
11.1,0.18,6,0.48,1.5
8.3,0.705,5,0.12,2.6
7.4,0.67,5,0.12,1.6
8.4,0.65,5,0.6,2.1
10.3,0.53,6,0.48,2.5
7.6,0.62,5,0.32,2.2
10.3,0.41,6,0.42,2.4
10.3,0.43,6,0.44,2.4
7.4,0.29,6,0.38,1.7
7.9,0.53,6,0.24,2
9,0.46,6,0.31,2.8
8.6,0.47,5,0.3,3
7.4,0.36,5,0.29,2.6
7.1,0.35,6,0.29,2.5
9.6,0.56,5,0.23,3.4
9.6,0.77,6,0.12,2.9
9.8,0.66,7,0.39,3.2
9.3,0.61,5,0.26,3.4
7.8,0.62,5,0.05,2.3
10.3,0.59,6,0.42,2.8
10,0.49,6,0.2,11
11.6,0.53,7,0.66,3.65
10.3,0.44,5,0.5,4.5
13.4,0.27,6,0.62,2.6
10.7,0.46,5,0.39,2
10.2,0.36,6,0.64,2.9
8,0.58,6,0.28,3.2
8.4,0.56,5,0.08,2.1
7.9,0.65,7,0.01,2.5
11.9,0.695,7,0.53,3.4
8.9,0.43,6,0.45,1.9
7.8,0.43,5,0.32,2.8
12.4,0.49,6,0.58,3
12.5,0.28,7,0.54,2.3
12.2,0.34,6,0.5,2.4
10.6,0.42,6,0.48,2.7
10.9,0.39,6,0.47,1.8
11.9,0.57,6,0.5,2.6
